Dates,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CDW,CERN,CHKP,CHTR,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,CTXS,DLTR,DXCM,EA,EBAY,EXC,EXPE,FAST,FB,FISV,GILD,GOOG,GOOGL,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,WLTW,XEL,XLNX
2017/1/18,114.3506927,108.7900009,68.23204803,96.01628876,79.70999908,94.41999817,135.8699951,32.07235718,9.880000114,141.8510895,807.4799805,93.56999969,118.1657867,38.08454895,166.4387054,176.5399933,283.6099854,1541.859985,87.16000366,25.90999985,50.52933502,51.74115372,89.61000061,303.6900024,33.87552261,152.6012573,28.32999992,27.14133072,199.4299927,35.2283783,110.3891296,55.36701202,72.99745941,77.30999756,84.16000366,80.52999878,29.80111694,32.05912399,115.3097153,23.20283508,127.9199982,55.04000092,64.81365967,806.0700073,829.0200195,118.9000015,161.2299957,115.0899963,33.85512924,112.4843597,221.0233307,27.15999985,76.64494324,75.32082367,34.52999878,33.24000168,104.6640396,68.5,79.51919556,62.91963196,42.0352478,174.8526306,43.45999908,59.0576973,22.31999969,37.22691727,133.2599945,33.22407913,223.036377,101.8063736,95.90552521,280.8099976,55.13923645,57.95540619,93.31604767,41.34999847,57.67627335,362.9500122,64.69950867,54.7954216,59.04000092,4.48728466,60.75999832,54.29999924,75.26504517,43.99000168,58.65999985,238.3600006,51.79000092,68.28891754,74,265.5,80.37310791,80.62000275,82.51999664,77.41221619,82.11000061,65.62046814,120.1875229,37.49030304,54.79683685
2017/1/19,114.1505585,109.7900009,67.69935608,96.07226563,79.98000336,90.55000305,134.3500061,32.12947083,9.770000458,140.0571594,809.039978,93.48999786,117.099144,37.87015152,166.9244995,176.0899963,280.3500061,1539.02002,86.15000153,25.96999931,50.13412857,51.0979805,96.33999634,306.1300049,34.02547455,152.0717468,28.26000023,27.096138,198.8899994,43.47190094,110.1663513,54.68169022,72.27185822,76.26000214,81.58999634,80.37999725,30.12472343,32.08605576,114.8265915,22.97107506,127.5500031,54.67499924,64.31045532,802.1749878,824.3699951,120.2799988,160.5800018,117.5299988,33.68014526,112.639801,219.3533325,27.75,76.2111969,74.87793732,34.93999863,33.65999985,104.2876892,66.98999786,80.9850235,62.1532402,41.62452316,174.493454,43.34999847,58.86870956,21.70999908,36.64891434,138.4100037,33.07638168,226.0634308,103.9918213,95.95444489,275.0499878,55.01276779,57.45721817,92.97092438,41.27000046,57.06523895,363.4100037,63.79042435,54.27043915,59.27000046,4.477529526,60.90999985,53.81999969,74.49597168,43.54000092,60.06999969,243.7599945,51.79000092,67.82987976,74.01999664,266.1199951,80.2144928,80.37999725,80.91000366,76.83243561,82.04000092,64.21379852,119.5397644,37.09119034,54.64602661
2017/1/20,114.3602371,110.7099991,68.1105423,96.32418823,81.66999817,91.69999695,131.9700012,32.21516418,9.75,140.8493805,808.3300171,93.30000305,117.281723,37.97735214,171.8901062,173.4400024,280.6600037,1545.01001,84.62000275,25.94000053,50.14376831,51.32556152,97.79000092,308.4400024,34.47533798,152.5733795,28.47500038,27.20459747,200.5200043,42.34474564,110.3019562,54.87473297,72.552742,76.55999756,80.20999908,80.12000275,30.04627419,32.13991547,115.8701324,23.2846241,127.0400009,54.78499985,63.80725861,805.0200195,828.1699829,118.8799973,159.7400055,117.2200012,34.02089691,113.7569733,218.9166718,27.60000038,77.16545868,75.25622559,34.86999893,33.68000031,105.7084427,67.31999969,80.84131622,63.32648087,42.19393921,175.760498,43.50999832,59.28447723,21.95999908,37.38044357,138.6000061,33.57487869,229.2418365,102.8546143,95.70002747,274.0100098,55.527668,57.68447113,93.77019501,41.68999863,55.68377304,362.5599976,63.82909393,54.05482483,58.79000092,4.477529526,60.77000046,53.77999878,84.19012451,43.36000061,59.61999893,244.7299957,52.34999847,68.62863159,75.23999786,266.2200012,80.65065765,80.41999817,81.37000275,75.20359039,81.77999878,65.07392883,120.0922699,37.25447083,54.69315338
2017/1/23,114.4364777,110.9700012,68.01708984,95.35385132,81.54000092,92.04000092,131.4900055,32.12947083,9.909999847,139.0736237,817.8800049,93.51000214,117.3970337,37.54855728,171.8181458,175.9700012,276.019989,1554.98999,83.30000305,25.67000008,49.5943222,50.25690079,97.79000092,308.7000122,34.33007813,151.4307556,28.19000053,27.35824776,200.25,43.93040466,110.2632065,54.2183609,72.13141632,75.55000305,79.98000336,79.87999725,29.68344498,31.6910305,115.9377747,23.1664772,128.9299927,54.33000183,63.5197258,819.3099976,844.4299927,117.7399979,160.8899994,117.4199982,33.86433411,113.7569733,218.343338,28.18000031,77.03534698,75.75448608,34.93000031,33.75,106.1035995,66.86000061,80.83174133,63.42110062,41.87656784,178.3045807,43.52000046,59.49236679,21.88999939,37.38044357,137.3899994,33.39024734,235.1539917,103.9226074,93.93867493,264.9899902,55.20246887,57.22124863,94.46956635,41.61999893,48.59932709,354.3599854,62.96837234,54.1485672,58.52000046,4.477529526,60.83000183,53.70999908,85.61434937,43.29000092,60.24000168,248.9199982,52.15999985,69.52837372,72.75,266.019989,80.472229,80.18000031,81.40000153,75.04714966,82.08000183,65.09186554,119.6540985,37.01861572,54.62717819
2017/1/24,114.3316498,113.7200012,68.69931793,96.32418823,82,91.65000153,129.8699951,32.39604568,10.43999958,138.2813568,822.4400024,94.48000336,117.7621994,38.10403824,177.890213,176.0500031,273.8200073,1563.329956,84.33999634,26.22999954,49.83530426,50.68239212,98.88999939,308.3500061,34.48940277,152.0438843,28.69000053,27.65649986,203,44.59905624,111.8807449,54.64307404,73.62944794,76.87999725,79.75,80.51000214,29.40886879,31.53841782,116.1600189,23.08922386,129.3699951,54.25999832,63.12434769,823.8699951,849.5300293,118.5100021,160.4799957,118.3000031,34.64715958,115.3598557,222.0166626,28.54000092,76.93991852,76.40040588,34.95999908,33.81999969,107.8630753,67.76999664,80.96586609,64.2442627,41.94190216,182.8838959,43.70999908,60.02152634,22.85000038,37.9584465,140.1100006,34.6364975,240.6973114,106.1377182,94.62364197,267.4599915,55.88899231,58.29627609,95.10536194,41.95999908,48.70559311,347.9599915,63.93548584,54.78605652,58.06000137,4.516549587,62.40999985,54.45000076,87.60825348,43.88000107,60.22000122,254.6100006,53.18000031,70.76782227,73.18000031,268.8099976,81.45359039,80.55000305,82.23999786,74.75266266,82.62999725,68.10228729,120.1875229,37.00047684,55.53198242
2017/1/25,116.1518784,114.25,69.66191864,95.82036591,82.65000153,93.41000366,129.4600067,32.76731491,10.35000038,140.3303375,836.5200195,94.94999695,117.9832001,38.5523262,182.1452026,176.6100006,273.2399902,1578.819946,83.84999847,26.26000023,49.88350296,51.72136688,96.62999725,310.3099976,34.4144249,152.4804993,28.80500031,27.74688148,204.3699951,45.64979172,113.0817795,55.55040741,74.69834137,76.88999939,80.90000153,81.48000336,29.64421844,31.73591614,116.7783966,23.08013916,131.4799957,54.27000046,64.6159668,835.6699829,858.4500122,121.4000015,161.0700073,120.9100037,34.81293869,116.5838852,233.3333282,28.59000015,77.07003784,78.12586975,35.22999954,34.13999939,110.0082703,68.81999969,82.01973724,65.11471558,42.09126663,182.9537659,43.13000107,60.17270279,23.55999947,38.1390686,139.5200043,35.03345108,237.9918518,106.5926132,95.40647125,266.0700073,55.66315842,59.78207016,95.014534,41.70999908,50.38814926,348.9299927,63.79042435,55.02979279,58.43999863,4.56532526,62.68000031,58.59000015,87.22846222,43.61999893,60.74000168,254.4700012,53.88000107,72.14498901,73.58999634,272.0100098,81.96907043,81.30999756,85.19000244,75.48886871,84.73000336,71.69511414,121.5211334,36.98233414,56.1351738
2017/1/26,116.2090454,112.8799973,69.34415436,95.20456696,81.63999939,92.23000336,128.1999969,32.34844971,10.52000046,139.3104095,839.1500244,94.84999847,116.3976669,38.46461487,183.6654968,174.9499969,278.8900146,1581.439941,85.27999878,25.95999908,49.85458755,51.87968826,98.15000153,333.1499939,35.3797493,152.415451,28.53499985,27.78303337,203.3600006,46.42351913,113.7016754,54.31489182,69.84536743,76.16999817,79.51999664,81.69999695,31.12495804,31.68205452,117.1359024,22.88927841,132.7799988,53.92499924,63.99595642,832.1500244,856.9799805,119.6100006,160.1300049,120.6399994,34.59191132,115.0781326,229.1866608,28.31999969,77.56452179,76.81561279,35.91999817,34.66999817,107.5713882,67.63999939,82.24008942,63.9887886,41.64318848,182.9437714,42.66999817,60.73020935,23.52000046,37.90425873,138.9600067,34.71035385,238.322937,108.4319534,95.1716156,263,55.50959778,59.50240326,94.58764648,41.5,47.86431122,340.75,63.41323853,54.80480194,58.04999924,4.633609772,62.20000076,57.72999954,86.41190338,43.38000107,63.36999893,252.5099945,53.75,72.76930237,75.37999725,272.4200134,81.81046295,81.55000305,85.33000183,74.7894516,84.09999847,70.30636597,121.5306702,37.10933304,54.07110214
2017/1/27,116.2185822,113.9899979,71.89551544,94.89668274,81.76000214,90.93000031,129.2299957,33.35754013,10.67000008,143.1168671,835.7700195,93.94999695,117.0126572,38.60104752,185.0508423,174.1000061,278.2099915,1602.920044,86.55999756,26.21999931,49.6232338,52.46349716,99.45999908,323.5499878,35.59062576,150.5482178,28.51000023,27.9999485,202.6399994,45.90769958,113.6048203,54.17975235,70.42274475,74.05000305,79.48000336,83.16000366,31.88003731,31.49353027,117.8798904,22.79839516,132.1799927,54.04999924,64.03189087,823.3099976,845.0300293,121.6600037,160.9900055,121.7200012,34.97872162,115.2044296,230.4299927,28.36000061,77.58185577,79.50070953,36.61999893,35.27999878,111.2502365,66.81999969,82.47003937,65.05795288,41.26045227,182.2054901,42.29999924,62.15704346,23.96999931,40.37882614,142.4499969,34.8580513,239.2216187,110.528389,95.77831268,263.7900085,55.25666809,59.07413864,93.98819733,40.27000046,48.03256989,346.5,63.18113327,52.61111069,58.49000168,4.633609772,62.5,57.31000137,87.36138153,43.40000153,62.41999817,252.9499969,53.68999863,72.09483337,74.41999817,271.4400024,81.95914459,81.22000122,87.37000275,75.00114441,84.76999664,71.24714661,120.4447403,36.9369812,55.12670898
2017/1/30,115.9136047,113.8199997,71.28804779,95.13926697,81.16000366,89.98000336,128.0500031,32.69115448,10.60999966,140.6308289,830.3800049,93.48000336,116.9549942,38.60104752,182.8108978,174.7200012,276.0599976,1602.310059,85.54000092,26.12000084,49.19911194,52.38433456,98.44999695,324.7999878,35.30477905,151.6536713,28.46500015,27.86437416,202.0399933,45.36323166,112.549057,51.79557037,71.10153198,75.25,78.55000305,83.83999634,31.54662514,31.45761681,117.425766,22.95846558,130.9799957,54.07500076,64.25654602,802.3200073,823.8300171,120.5,159.2799988,118.2300034,34.46297455,115.1461487,230.043335,28.55999947,77.27825165,79.5837326,36.61999893,35.29999924,109.1426697,66.88999939,81.6844101,65.34178925,41.47515869,184.6896973,42.43000031,61.54283524,24.18000031,40.64976883,141.2200012,35.14423752,236.9512939,108.7978439,95.91530609,261.8900146,55.34768295,59.10035706,94.17891693,39.86000061,47.47467804,344.5,63.23916245,52.40486908,57.22999954,4.643365383,62.61999893,57.40000153,88.29187012,43.40000153,61.13000107,250.6300049,53.49000168,71.97471619,71.72000122,270.1799927,82.01863098,80.83999634,84.37999725,74.98271179,82.70999908,70.97834778,119.6159744,36.94604492,55.70162964
2017/1/31,115.6467743,113.3799973,70.03574371,94.22489929,81.33999634,91.69000244,130.6799927,32.60548019,10.36999989,142.6797791,823.4799805,93.26000214,116.6571274,39.18576813,179.4645081,175.0700073,277.2399902,1575.130005,87.62999725,26.03000069,49.65215302,53.14625168,98.76999664,323.9500122,35.34226227,152.3039856,28.37000084,27.76495934,202.1000061,44.31248856,112.4618912,50.76274872,71.14833069,77.19000244,79.15000153,83.43000031,31.21321487,32.21173859,117.4837418,22.7206459,130.3200073,53.71500015,65.10118866,796.789978,820.1900024,122.3300018,160.1000061,121.2099991,33.91038513,115.1947174,230.8966675,28.39999962,77.4604187,78.53185272,36.47999954,35.13000107,108.0700684,67.51000214,81.05208588,63.72386551,41.33512878,184.9590912,42.59999847,61.08927917,24.11000061,40.17110825,140.7100067,35.37501526,240.1770172,107.9671783,95.74893951,262.269989,54.87439346,58.82941818,94.26065826,39.77999878,47.31527328,359.2900085,63.93548584,51.76738739,60.24000168,4.604344368,62.88999939,57.86000061,87.3680954,43.20999908,62.27000046,251.9299927,53.65000153,69.79423523,70.47000122,272.2799988,81.91949463,80.20999908,85.87000275,75.40604401,83.08999634,71.43527985,119.1968307,37.48123169,54.85337448
