Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,4928.490234375,4884.52001953125,4900.85009765625,4911.330078125,1886200000,4911.330078125
2017-01-04,4944.740234375,4919.7998046875,4920.7900390625,4937.2099609375,1883360000,4937.2099609375
2017-01-05,4967.89990234375,4935.33984375,4936.35009765625,4964.9501953125,1792610000,4964.9501953125
2017-01-06,5020.7001953125,4957.81982421875,4973.8701171875,5007.080078125,1710770000,5007.080078125
2017-01-09,5033.31982421875,5009.4501953125,5013.81982421875,5024.89990234375,1885500000,5024.89990234375
2017-01-10,5049.830078125,5016.18994140625,5027.5,5035.169921875,1796500000,5035.169921875
2017-01-11,5050.2099609375,5012.64990234375,5033.8798828125,5050.2099609375,1954720000,5050.2099609375
2017-01-12,5044.3701171875,4995.06982421875,5029.27978515625,5041.43017578125,1801750000,5041.43017578125
2017-01-13,5066.9501953125,5045.919921875,5047.56005859375,5059.509765625,1605110000,5059.509765625
2017-01-17,5053.2001953125,5029.60986328125,5043.06982421875,5044.64990234375,1757030000,5044.64990234375
2017-01-18,5058.2001953125,5039.18017578125,5050.259765625,5055.85009765625,1683320000,5055.85009765625
2017-01-19,5078.41015625,5041.2099609375,5061.10009765625,5051.169921875,1805710000,5051.169921875
2017-01-20,5085.33984375,5050.02001953125,5070.14990234375,5063.2001953125,1740320000,5063.2001953125
2017-01-23,5073.240234375,5035.490234375,5055.97021484375,5065.7001953125,1650290000,5065.7001953125
2017-01-24,5108.22021484375,5068.3701171875,5079.60986328125,5101.06005859375,1805370000,5101.06005859375
2017-01-25,5153.18017578125,5129.0,5132.8701171875,5151.47021484375,1959950000,5151.47021484375
2017-01-26,5168.2001953125,5148.85009765625,5164.1201171875,5156.919921875,1827490000,5156.919921875
2017-01-27,5172.43017578125,5150.18017578125,5169.490234375,5168.06005859375,1663400000,5168.06005859375
2017-01-30,5146.8798828125,5098.33984375,5146.41015625,5129.330078125,1777090000,5129.330078125
2017-01-31,5116.7998046875,5086.330078125,5107.47021484375,5116.77001953125,2041480000,5116.77001953125
